training_percent, mean, iqr, saved_time, total_time, technique, evaluations 
0.1,0.0778519719383,0.00628370336686,67157.427743,67585.0,32,exemplar_where
0.2,0.0858789827502,0.00339508326737,67121.810048,67585.0,35,exemplar_where
0.3,0.0822982584634,0.00306047710333,66733.972308,67585.0,64,exemplar_where
0.4,0.0856365838546,0.00225761729527,66737.440913,67585.0,64,exemplar_where
0.5,0.0891626287452,0.0033116220453,66739.987163,67585.0,64,exemplar_where
0.6,0.0908174272024,0.00121116212153,66742.054103,67585.0,64,exemplar_where
0.7,0.092582915595,0.00291531004039,66743.343793,67585.0,64,exemplar_where
0.8,0.0915615073764,0.00313235146963,66744.631023,67585.0,64,exemplar_where
0.9,0.0839837070719,0.0030549130312,65888.088223,67585.0,128,exemplar_where
0.1,0.0580320435746,0.00632951344161,67121.938423,67585.0,32,random_where
0.2,0.0569595446509,0.00764605578588,67077.023273,67585.0,35,random_where
0.3,0.054826494293,0.00693288852341,66657.131163,67585.0,64,random_where
0.4,0.0554544397645,0.00472099105769,66656.115388,67585.0,64,random_where
0.5,0.0543079197008,0.00303094692303,66654.507828,67585.0,64,random_where
0.6,0.0561108956716,0.00706438761575,66656.181533,67585.0,64,random_where
0.7,0.0552601139611,0.0056074469446,66654.678718,67585.0,64,random_where
0.8,0.0552768529178,0.0102091887854,66658.755508,67585.0,64,random_where
0.9,0.0515537070361,0.00411809832997,65726.971343,67585.0,128,random_where
0.1,0.0455846287752,0.00140188369643,60811.604938,67585.0,466,base_line
0.2,0.0442387445374,0.00133304481317,54055.630198,67585.0,931,base_line
0.3,0.044426491998,0.000805755673086,47307.016143,67585.0,1396,base_line
0.4,0.0446582113964,0.000990593087948,40540.785753,67585.0,1862,base_line
0.5,0.044946852696,0.00144004786713,33786.185818,67585.0,2327,base_line
0.6,0.0466584891348,0.0017585898325,27038.953693,67585.0,2792,base_line
0.7,0.0476613761339,0.00147526998801,20261.900093,67585.0,3258,base_line
0.8,0.0487827327626,0.0019632548981,13502.799733,67585.0,3723,base_line
0.9,0.0509894111603,0.00125082011231,6756.98187798,67585.0,4188,base_line
0.1,0.0720797357043,0.00862522532597,66653.025078,67585.0,64,east_west_where
0.2,0.0823625946834,0.00841220770215,66565.381193,67585.0,70,east_west_where
0.3,0.0736220805505,0.00560127645054,65721.246528,67585.0,128,east_west_where
0.4,0.0786137895811,0.00703033909885,65721.967393,67585.0,128,east_west_where
0.5,0.078875587992,0.00711346532304,65721.427698,67585.0,128,east_west_where
0.6,0.0811160591354,0.00634873936808,65720.165503,67585.0,128,east_west_where
0.7,0.0829775823345,0.00349929574732,65719.469433,67585.0,128,east_west_where
0.8,0.0843801574571,0.00417456687715,65719.189803,67585.0,128,east_west_where
0.9,0.0743799010043,0.00317338006464,63859.516148,67585.0,256,east_west_where
